x_coords,y_coords
4209.0,2397.0
4228.0,2406.0
4228.0,2406.0
4215.0,2396.0
4218.0,2395.0
4220.0,2396.0
4224.0,2395.0
4226.0,2397.0
4226.0,2397.0
4215.0,2397.0
4214.0,2398.0
4213.0,2397.0
4214.0,2398.0
4214.0,2398.0
4214.0,2397.0
4215.0,2397.0
4217.0,2398.0
4216.0,2400.0
4216.0,2400.0
4217.0,2403.0
4217.0,2403.0
4218.0,2404.0
4219.0,2407.0
4219.0,2407.0
4220.0,2409.0
4220.0,2409.0
4219.0,2411.0
4221.0,2413.0
4221.0,2413.0
4220.0,2412.0
4214.0,2400.0
4222.0,2400.0
4222.0,2400.0
4212.0,2382.0
4294.0,2352.0
4307.0,2354.0
4313.0,2354.0
4297.0,2356.0
4278.0,2350.0
4276.0,2346.0
4286.0,2348.0
4286.0,2348.0
4274.0,2342.0
4282.0,2351.0
4298.0,2348.0
4298.0,2348.0
4297.0,2352.0
4297.0,2365.0
4297.0,2365.0
4313.0,2372.0
4321.0,2374.0
4319.0,2372.0
4319.0,2372.0
4316.0,2368.0
4309.0,2372.0
4314.0,2372.0
4310.0,2358.0
4310.0,2358.0
4289.0,2358.0
4296.0,2363.0
4300.0,2357.0
4302.0,2357.0
4302.0,2357.0
4300.0,2362.0
4318.0,2364.0
4325.0,2375.0
4325.0,2375.0
4326.0,2364.0
4321.0,2364.0
4323.0,2367.0
4323.0,2367.0
4325.0,2371.0
4320.0,2374.0
4329.0,2365.0
4329.0,2365.0
4324.0,2370.0
4325.0,2371.0
4325.0,2371.0
4326.0,2371.0
4317.0,2370.0
4318.0,2369.0
4319.0,2370.0
4319.0,2370.0
4322.0,2370.0
4323.0,2368.0
4323.0,2368.0
4324.0,2366.0
4323.0,2366.0
4325.0,2366.0
4326.0,2365.0
4326.0,2365.0
4327.0,2366.0
4328.0,2365.0
4329.0,2364.0
4328.0,2365.0
4328.0,2365.0
4328.0,2363.0
4327.0,2363.0
4326.0,2363.0
4326.0,2362.0
4326.0,2362.0
4326.0,2361.0
4325.0,2363.0
4325.0,2363.0
4325.0,2363.0
4326.0,2364.0
4327.0,2364.0
4328.0,2364.0
4328.0,2364.0
4329.0,2364.0
